Cage,Line,Gen,Status,Sex,4.17,4.23,4.61,4.82,4.96,5.2,5.41,6.02,6.06,6.21,6.3,6.53,6.64,6.94,7.08,7.66,8.06,8.38,9.63,9.74,10.41,10.61,10.85,11.04,11.16,11.5,12.27,12.56,12.63,12.96,13.47,13.59,13.82,13.95,14.37,14.86,15.38,15.45,15.63,15.77,15.87,15.99,16.11,16.32,16.45,16.52,16.59,16.66,16.73,16.85,16.94,17.01,17.07,17.17,17.21,17.26,17.32,17.37,17.41,17.45,17.47,17.52,17.55,17.69,17.7,17.72,17.75,17.84,17.96,18.01,18.12,18.17,18.21,18.27,18.32,18.37,18.39,18.42,18.48,18.53,18.64,18.68,18.72,18.88,18.89,18.93,18.98,19.01,19.04,19.05,19.08,19.12,19.25,19.29,19.43,19.48,19.51,19.56,19.59,19.62,19.66,19.76,19.8,19.83,20.05,20.07,20.11,20.13,20.2,20.33,20.37,20.5,20.55,20.59,20.62,20.64,20.68,20.84,20.88,20.9
G6_MB46,MB46,6,Mixed,Male,715.7,462.01,584.06,461.45,1175.43,812.02,2862.28,845.2,4741.07,2502.44,810.24,1833.33,327.84,4456.44,0,3651.07,211.35,678.86,1125.45,1498.87,6101.05,146513.25,347.1,2756.44,1591.36,0,1153.87,465.74,33020.39,620052.31,1838.94,29430.9,327.68,798.07,439.83,375.65,0,334.89,228.39,1483.96,313.29,512.96,15636.49,0,450.57,779.2,590.65,1258.83,0,127.42,1297.59,466.22,272.79,352.68,1087.01,123.33,609.26,116.65,0,228.45,286.83,434.13,0,187.23,629.26,476.58,588.48,0,1582.81,550.65,1141.59,0,534.34,828,610.75,0,0,3689.51,0,616.04,965.53,604.13,848.44,1503.71,0,0,3271.95,737.38,567.48,353.88,225.11,638.97,566.12,1656.71,1060.83,508.83,0,343.41,0,0,588.33,78,1708.38,3603.46,141.89,148.79,433.71,0,223.7,623.99,564.58,84.83,1491.84,1742.93,1413.01,0,2501.4,2322.97,0,1021.94
G6_MB64,MB64,6,Mixed,Male,0,0,654.62,0,373.41,0,1148.83,735.03,0,0,366.28,434.65,0,1556.97,0,2290.43,0,0,844.38,310.05,3560.67,75470.18,314.61,1738.11,2633.78,283.54,0,381.55,26272.99,461292.38,3073.25,42164.27,328.23,392.02,0,0,76.12,0,106.82,2578.57,124.85,217.57,9994.07,1939.22,171.46,305.9,285.43,357.29,398.05,148.47,1651.33,318.19,128.67,186.56,1443.48,0,301.61,0,1488.06,101.18,116.12,0,0,0,877.12,0,88.97,162.54,518.5,718.74,880.05,93.05,136.44,1157.03,836.99,0,0,5141.69,0,605.65,1448.54,1036.54,397.66,46.14,404.06,0,1001.95,899.54,0,107.88,0,444.63,625.08,1113.18,528.29,172.02,0,73.5,0,0,220.08,325.42,0,3690.22,67.99,0,146.18,320.29,65.26,1011.58,410.6,783.32,2081.11,2082.69,1291.22,2300.38,0,2720.91,0,804.07
G6_NB02,NB02,6,Mixed,Male,123.51,251.84,532.21,802.16,1672.8,1645.81,2716.18,0,7032.49,4068.47,766.31,1744.55,0,6679.38,789.71,1770.57,275.3,0,1465.18,1685.35,4000.78,95730.73,310.59,2350.43,2503.97,0,0,486.09,43471.47,877192.12,9294.55,179933.17,421.19,941.68,733.15,418.65,173.33,0,237.01,1846.51,573.4,698.84,22376.87,0,602.62,997.76,409.85,2536.8,103.11,330.16,1815.15,849.46,359.27,443.69,1414.72,165.56,723.03,729.74,0,298.08,592.06,0,446.17,211.08,473.25,1614.3,630.79,435.25,5686.8,3983.47,2683.43,803.56,0,1071.52,0,1156.53,728.5,6720.28,837.05,796.45,0,1904.86,811.75,248.71,3184.13,5358.12,0,738.49,763.34,393.26,830.88,1088.03,1273.75,1581.42,2010.58,472.73,0,0,602.7,0,432.05,199.83,2706.31,2270.66,131.51,351.29,981.26,0,449.17,1150.23,942.77,162.58,565.77,0,0,1319.19,3621.94,0,2615.63,1138.76
G6_NB11,NB11,6,Mixed,Male,654.67,359.31,117.73,457.44,1242.05,622.1,1277.56,188.51,4762.02,2655.55,305.84,1107.27,0,6618.53,351.87,1757.76,184.55,224.91,0,997.18,1332.8,38337.04,0,542.95,2319.76,707.82,0,261.54,4100.96,104570.43,867.89,17181.5,232.16,273.84,507.75,442.5,84.09,163.31,0,1435.63,263.12,159.47,11542.85,0,323.2,343.32,370.27,1638.55,0,0,417.6,0,227.88,0,872.57,0,439.44,229.85,0,0,678.73,0,0,0,390.42,509.54,443,0,1931.3,1231.15,1120.22,0,0,0,485.51,0,0,1796.66,0,618.32,1297.54,590.34,0,1224.07,0,2059.01,0,1442.61,0,0,0,0,354.79,821.62,712.03,0,0,703.29,0,0,0,0,0,1150.9,0,1018.33,1243.97,0,0,605.51,0,0,874.38,0,3615.6,0,3819.02,2189.98,0,0
G6_NB28,NB28,6,Mixed,Male,598.45,508.89,305.62,479.84,1181.04,1070.34,1335.8,232.57,4578.22,2475.9,309.52,1359.43,0,4956.26,257.66,4717.06,256.67,356.36,785.97,1029.37,2765.2,58864.18,533.2,1827,1741.02,0,1350.94,478.9,25519.7,553789,871.47,8506.16,0,581.55,340.1,404.31,128.66,0,154.64,1499.95,354.32,496.3,9955.55,2163.21,452.62,637.78,530.22,1593.98,95.66,79.99,831.59,480.55,278.32,205.58,1159.04,121.59,568.92,771.83,0,253.46,438.72,175.51,381.55,0,134.86,925.15,595.87,105.33,1551.93,657.44,1388.41,0,576.32,489.81,744.64,0,277.69,6581.77,0,597.17,901.39,641.93,1086.14,163.31,1313.85,431.79,3605.57,1369.96,595.07,954.16,0,652.54,2078.55,2285.8,1253.53,423.79,0,531.64,0,0,300.14,166.89,5329.09,2529.91,140.31,229.25,608.4,0,254.83,1369.42,391.13,0,534.32,338.39,632.92,333.45,4625.83,3690.36,0,1156.41
G6_UT01,UT01,6,Mixed,Male,441.76,625.49,209.99,738.5,1386.09,1007.92,896.57,539.13,5482.14,3030.15,221.61,964.91,52.39,4254.38,147.03,6056.27,278.45,293.47,0,1163.1,1335.38,30919.22,226.44,448.31,1867.09,0,0,332.11,8162.46,145164.12,722.96,8395.49,261.63,346.54,990.91,1168.14,310.19,335.83,164.43,2459.02,727.02,927.67,151.36,0,396.76,438.26,297.13,1629.73,60.34,87.02,689.13,264.44,359.08,345.26,2060.61,266.14,688.88,563,182.89,0,2115.31,494.15,518.3,505.98,484.1,711.16,616.6,0,1750.77,297.93,1070.76,1658.72,0,910.58,2451.96,732.46,380.42,2848.5,704.68,843.47,0,418.14,607.38,1384.28,1234.63,903.99,1940.45,2346.98,803.56,436.19,572.06,765.18,1373.25,1483.36,487.97,1042.33,381.32,0,2868.23,269.57,409.69,186.95,1794.33,2985.92,984.16,811.34,3609.11,0,836.4,711.81,974.69,146.6,1387.43,355.11,1076.96,3181.74,0,0,3615.66,3127.99
G6_UT03,UT03,6,Mixed,Male,570.7,687.13,1878.36,656.59,1330.82,1058.26,2216.72,806.68,5277.95,2918.43,839.49,975.13,0,4990.33,0,4908.62,308.64,0,1683.98,845.87,6466.87,126060.73,761.11,7738.79,4014.91,542.07,0,0,73982.48,1215508.88,3343.23,41399.71,490.75,1627.76,0,1078.83,315.6,0,508.37,3948.64,573.67,0,20761.02,4912.73,367.93,510.25,572.82,1414.86,315.55,375.62,2652.99,1077.89,288.6,389.98,2815.16,230.78,811.99,5361.1,0,0,1235.88,0,464.11,511.91,0,4936.39,358.17,221.27,2718.56,1018.81,1259.48,0,1404.87,1312.55,0,2303.86,891.23,10048.39,415.5,872.93,1883.56,1325.34,918.72,1495.32,678.32,0,3056.69,4994.12,0,2186.16,537.73,404.01,439.6,2523.01,459.41,1040.54,1044.37,713.99,0,2657.41,939.88,392.88,0,6107.53,0,0,246.18,1823.98,1742.45,707.67,1823.76,0,356.75,578.99,0,1132.64,716.68,0,0,9483.19
G6_UT43,UT43,6,Mixed,Male,447.01,708.48,816.37,749.56,1350.21,1347.16,2254.11,0,5754.28,3290.96,796.15,1379.97,0,3933.75,0,3722.11,281.56,0,1966.64,1119.43,6211.17,149649.62,0,2566.67,1757.76,0,1356.95,0,59254.92,1024162.44,5083.2,81372.64,747.07,1478.48,492.26,1167.2,437.24,331.15,403.36,2671.34,719.41,954.11,20736.02,0,387.49,645.4,643.78,1342.33,0,283.06,2359.23,594.14,380.82,434.35,2338.3,253.04,873.95,5408.09,0,517.29,1853.77,0,597.85,993.27,4447.05,0,522.59,334.31,2422.68,758.08,1119.5,1667.1,0,1660.48,0,2687.93,1129.76,11675,350.39,763.19,2010.13,1400.87,602.66,1274.29,2376.05,871.15,3810.68,5051.98,1986.18,0,541.68,373.72,1442.14,1112.2,1457.94,1088.45,753.12,2824.38,0,0,364.22,0,0,1626.24,1090.92,0,674.75,2318.69,720.25,692.35,0,200.1,376.42,0,1332.28,0,6077.71,0,1173,770.47
G6_BR05,BR05,6,Mixed,Male,0,251.51,1202.47,575.47,1334.59,874.42,3779.21,611.52,5771.41,3167.35,1302.33,421.07,337.64,3707.87,518.31,2296.97,369.78,0,1844.67,508.4,6893.99,151187.33,0,11225.54,2162,560.5,0,0,51442.15,902655.81,3587.67,60660.07,403.25,1017.96,0,0,0,0,200.21,874.58,0,297.84,19853.85,4397.09,256.12,372.32,404.59,888.86,336.77,262.59,2203.6,456.51,920.18,282.09,633.5,131.12,786.76,340.85,294.16,0,179.51,0,0,0,656.14,0,681.39,0,903.44,2138,883.27,0,500.14,960.26,0,760.99,0,10492.67,0,490.74,0,1062.88,586.12,1924.41,0,2037.63,0,686.16,0,235.47,230.35,345.79,1598.1,2533.22,1589.84,597.58,0,0,3550.75,0,0,0,7075.76,4159.73,246.54,228.49,0,438.82,246.87,3332.64,830.74,136.72,860.12,0,604.97,512.41,20811.99,6289.22,0,1602.57
G6_BR50,BR50,6,Mixed,Male,0,235.22,822.45,463.56,1265.25,973.36,880.99,0,5074.04,2912.85,261.67,566.93,0,2170.77,205.44,4786.41,320.4,0,1613.55,378.79,3022.06,58486.66,642.34,4073.05,1958.24,319.48,0,0,41056.76,675585.19,3680.82,47691.27,0,682.72,0,394.53,0,0,233.18,1311.72,209.3,332.34,11223.04,3517.51,315.55,541.7,242.22,961.1,0,183.93,929.85,388.51,205.54,243.91,825.97,116.17,566.76,1741.94,192.14,0,282.88,118.12,234.22,0,0,2313.51,529.14,0,647.44,3267.79,1861.28,434.01,0,449.92,586.79,308.5,0,6410.22,277.66,671.37,1318.77,1475.31,2807.22,4549.52,0,3687.17,0,1950.7,1066.46,0,468.49,943.77,6501.5,6533.6,0,3410.79,543.09,491.47,792.59,0,277.05,82.36,35527.74,8946.66,299.79,224.73,520.99,2072.17,403.56,9144.75,0,0,631.45,128.47,0,3042.81,16607.11,510.83,13621.11,3219.87
